#NAME?,RF US GVT BMK BID YLD 3M - RED. YIELD,,,,#NAME?,RF US GVT BMK BID YLD 3M - RED. YIELD,,Dato,TRSY 10
Q2 2007,5.016,,,,10/1/91,5.243,,1985-04-01,5.59653
Q3 2007,4.791,,,,11/1/91,4.88,,1985-07-01,5.5504
Q4 2007,3.78,,,,12/1/91,4.514,,1985-10-01,5.49373
Q1 2008,3.247,,,,1/1/92,3.898,,1986-01-01,5.36273
Q2 2008,1.336,,,,2/1/92,3.954,,1986-04-01,5.24269
Q3 2008,1.864,,,,3/1/92,4.108,,1986-07-01,5.20343
Q4 2008,0.798,,,,4/1/92,4.107,,1986-10-01,5.19775
Q1 2009,0.127,,,,5/1/92,3.713,,1987-01-01,5.18825
Q2 2009,0.208,,,,6/1/92,3.834,,1987-04-01,5.3362
Q3 2009,0.172,,,,7/1/92,3.632,,1987-07-01,5.39745
Q4 2009,0.101,,,,8/1/92,3.17,,1987-10-01,5.42627
Q1 2010,0.061,,,,9/1/92,3.22,,1988-01-01,5.34435
Q2 2010,0.162,,,,10/1/92,2.664,,1988-04-01,5.40231
Q3 2010,0.172,,,,11/1/92,3.112,,1988-07-01,5.42348
Q4 2010,0.157,,,,12/1/92,3.374,,1988-10-01,5.40725
Q1 2011,0.124,,,,1/1/93,3.093,,1989-01-01,5.43528
Q2 2011,0.063,,,,2/1/93,2.961,,1989-04-01,5.38478
Q3 2011,0.018,,,,3/1/93,3.002,,1989-07-01,5.3076
Q4 2011,0.008,,,,4/1/93,2.972,,1989-10-01,5.28257
Q1 2012,0.02,,,,5/1/93,2.92,,1990-01-01,5.34588
Q2 2012,0.079,,,,6/1/93,3.105,,1990-04-01,5.37516
Q3 2012,0.101,,,,7/1/93,3.049,,1990-07-01,5.37828
Q4 2012,0.086,,,,8/1/93,3.131,,1990-10-01,5.34375
Q1 2013,0.046,,,,9/1/93,3.075,,1991-01-01,5.2971
Q2 2013,0.079,,,,10/1/93,2.982,,1991-04-01,5.30981
