#NAME?,FTSE Nareit ALL REITS $ - PRICE INDEX,FTSE Nareit ALL EQUITY REITS $ - PRICE INDEX,,,#NAME?,FTSE Nareit ALL REITS $ - TOT RETURN IND,FTSE Nareit ALL EQUITY REITS $ - TOT RETURN IND,FTSE Nareit ALL RES. CAP - TOT RETURN IND
Code,NARALL$,NAREQU$,,,Code,NARALL$(RI),NAREQU$(RI),FEALRCL(RI)
Q2 1989,90.59,203.67,,,Q2 1989,474.58,932.46,NA
Q3 1989,92.92,211.38,,,Q3 1989,498.3,986.52,NA
Q4 1989,90.78,215.08,,,Q4 1989,504.61,1022.76,NA
Q1 1990,82.59,204.24,,,Q1 1990,471.78,991.26,NA
Q2 1990,75.99,192.31,,,Q2 1990,446.18,952.88,NA
Q3 1990,71.25,179.39,,,Q3 1990,442.54,951.76,NA
Q4 1990,59.5,149.58,,,Q4 1990,379.76,813.28,NA
Q1 1991,59.05,150.21,,,Q1 1991,389.95,839.09,NA
Q2 1991,70.83,180.78,,,Q2 1991,478.9,1029.89,NA
Q3 1991,70.44,178.6,,,Q3 1991,488.84,1037.91,NA
Q4 1991,71.55,182.18,,,Q4 1991,508.2,1080.39,NA
Q1 1992,72.69,188.47,,,Q1 1992,529.08,1138.61,NA
Q2 1992,71.92,186.2,,,Q2 1992,534.31,1146.15,NA
Q3 1992,71.85,187.42,,,Q3 1992,546.05,1176.38,NA
Q4 1992,73.85,196.64,,,Q4 1992,573,1256.65,NA
Q1 1993,74.78,200.54,,,Q1 1993,593.49,1304.73,NA
Q2 1993,87.58,240.26,,,Q2 1993,706.94,1587.08,NA
Q3 1993,83.66,229.93,,,Q3 1993,687.12,1541.53,NA
Q4 1993,89.73,247.98,,,Q4 1993,748.12,1685.64,NA
Q1 1994,82.69,226.51,,,Q1 1994,703.57,1561.17,NA
Q2 1994,83.23,231.03,,,Q2 1994,719.38,1614.31,NA
Q3 1994,82.93,231.37,,,Q3 1994,729.72,1644.03,NA
Q4 1994,79.99,222.88,,,Q4 1994,717.04,1610.41,NA
Q1 1995,77.39,218.55,,,Q1 1995,709.24,1610.67,NA
Q2 1995,76.62,213.91,,,Q2 1995,717.09,1607.94,NA
Q3 1995,80.05,222.06,,,Q3 1995,764.39,1702.51,NA
Q4 1995,82.4,228.03,,,Q4 1995,802.31,1782.69,NA
Q1 1996,84.45,232.88,,,Q1 1996,839.09,1856.57,NA
Q2 1996,85.44,235.38,,,Q2 1996,860.51,1898.79,NA
Q3 1996,87.54,241.19,,,Q3 1996,898.96,1983.25,NA
Q4 1996,91.8,252.4,,,Q4 1996,960,2113.03,NA
Q1 1997,106.84,294.24,,,Q1 1997,1139.1,2511.32,NA
Q2 1997,105.48,291.89,,,Q2 1997,1142.11,2528.8,NA
Q3 1997,109.67,301.58,,,Q3 1997,1207.07,2654.55,NA
Q4 1997,120.16,332.9,,,Q4 1997,1339.81,2968.26,NA
Q1 1998,119.5,333.47,,,Q1 1998,1353.94,3020.11,NA
Q2 1998,117.25,327.61,,,Q2 1998,1346.59,3006.02,NA
Q3 1998,110.1,308,,,Q3 1998,1284.19,2868.18,NA
Q4 1998,96.32,271,,,Q4 1998,1144.13,2566.38,NA
Q1 1999,91.03,259,,,Q1 1999,1099.09,2491.53,NA
Q2 1999,84.24,240.44,,,Q2 1999,1036.44,2357.55,NA
Q3 1999,91.58,260.78,,,Q3 1999,1147.86,2603.8,NA
Q4 1999,81.11,233.62,,,Q4 1999,1039.28,2384.5,NA
Q1 2000,77.48,225.09,,,Q1 2000,1017.98,2352.62,NA
Q2 2000,78.45,228.27,,,Q2 2000,1051.79,2434.63,NA
Q3 2000,87.07,253.71,,,Q3 2000,1190.32,2757.6,NA
Q4 2000,87.99,256.47,,,Q4 2000,1225.99,2840.51,NA
Q1 2001,90.68,264.9,,,Q1 2001,1294.05,3002.97,NA
Q2 2001,90.25,261.76,,,Q2 2001,1310.05,3020.66,NA
