Date,US TREASURY BILL RATE - 3 MONTH (EP) NADJ,Date,US BENCHMARK 10 YEAR DS GOVT. INDEX - TOT RETURN IND,US TREASURY BILL RATE - 3 MONTH (EP) NADJ,RF US GVT BMK BID YLD 3M - RED. YIELD,US BENCHMARK 5 YEAR DS GOVT. INDEX - TOT RETURN IND,US DOLLAR 3M DEPOSIT (FT/RFV) - TOT RETURN IND,US DOLLAR 3M DEPOSIT (FT/RFV) - MIDDLE RATE,US DOLLAR 3M DEPOSIT (FT/RFV) - RETURN IND. (OFCL),,Date,US NCREIF: NPI RETURNS - NATIONAL NADJ,US NCREIF: TBI RETURNS - NATIONAL(DISC.) NADJ,US NCREIF PROPERTY INDEX: VALUE OF RETURN - NATIONAL NADJ,US NCREIF: FUND INDEX OPEN-END DIVERSIFIED CORE RETURNS NADJ,,,,,,,,,,,,,,,,,,,,,,,
Q3 2000,6.21,9/30/00,240.858,6.21,5.858,232.659,433.37,6.72,147.093,,Q2 1994,1.54,14.69,403.564,1.42,,,,,,,,,,,,,,,,,,,,,,,
Q4 2000,5.89,12/31/00,244.444,5.89,6.193,238.579,440.63,6.74,149.5371,,Q3 1994,1.51,-3.42,409.6578,1.74,,,,,,,,,,,,,,,,,,,,,,,
Q1 2001,4.29,3/31/01,261.012,4.29,5.868,249.485,447.95,6.28,152.0025,,Q4 1994,1.88,-9.41,417.3594,1.56,,,,,,,,,,,,,,,,,,,,,,,
Q2 2001,3.62,6/30/01,264.843,3.62,4.263,256.392,453.9,4.8,154.0021,,Q1 1995,2.11,13.26,426.1656,2.34,,,,,,,,,,,,,,,,,,,,,,,
Q3 2001,2.37,9/30/01,260.911,2.37,3.666,256.943,458.57,3.79,155.5692,,Q2 1995,2.08,1.27,435.0299,2.22,,,,,,,,,,,,,,,,,,,,,,,
Q4 2001,1.73,12/31/01,278.139,1.73,2.346,271.542,462.48,2.59,156.8743,,Q3 1995,2.06,3.55,443.9915,2.12,,,,,,,,,,,,,,,,,,,,,,,
Q1 2002,1.79,3/31/02,271.04,1.79,1.735,268.591,464.93,1.83,157.687,,Q4 1995,1.09,1.68,448.831,0.26,,,,,,,,,,,,,,,,,,,,,,,
Q2 2002,1.67,6/30/02,265.113,1.67,1.823,265.792,467.07,2,158.3944,,Q1 1996,2.4,-2.28,459.603,2.4,,,,,,,,,,,,,,,,,,,,,,,
Q3 2002,1.6,9/30/02,281.185,1.6,1.726,279.408,469.25,1.82,159.1152,,Q2 1996,2.29,8.89,470.1279,3.24,,,,,,,,,,,,,,,,,,,,,,,
Q4 2002,1.19,12/31/02,310.1,1.19,1.592,299.434,471.35,1.73,159.8102,,Q3 1996,2.63,2.16,482.4922,2.72,,,,,,,,,,,,,,,,,,,,,,,
